short_cit,Journal,doi,replicated
Ackerman et al. (2010),Science,10.1038/nature13530,n
Lee and Schwarz (2010),Science,10.1126/science.1186799,n
Kidd and Castano (2013),Science,10.1126/science.1239918,n
Gervais and Norenzayan (2012),Science,10.1126/science.1215647,n
Shah et al. (2012),Science,10.1126/science.1222426,n
Sparrow et al. (2011),Science,10.1126/science.1207745,n
Ramirez and Beilock (2011),Science,10.1126/science.1199427,n
Rand et al. (2012),Nature,10.1038/nature11467,n
Wilson et al. (2014),Science,10.1126/science.1250830,y
Morewedge et al. (2010),Science,10.1126/science.1195701,y
Kovacs et al. (2010),Science,10.1126/science.1190792,y
Derex et al. (2013),Nature,10.1038/nature12774,y
Karpicke and Blunt (2011),Science,10.1126/science.1199327,y
Duncan et al. (2012),Science,10.1126/science.1221936,y
Nishi et al. (2015),Nature,10.1038/nature15392,y
Aviezer et al. (2012),Science,10.1126/science.1224313,y
Pyc and Rawson (2010),Science,10.1126/science.1191465,y
Balafoutas and Sutter (2012),Science,10.1126/science.1211180,y
Janssen et al. (2010),Science,10.1126/science.1183532,y
Gneezy et al. (2014),Science,10.1126/science.1253932,y
Hauser et al. (2014),Nature,10.1038/nature13530,y